Stations_id;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr
1;46;46;      46.3;      42.1;54;      77.9;103;      93.2;      83.9;59;59;62;      57.3;     783.9
2;45;      64.2;      57.3;      65.9;57;      69.8;      85.2;79;      69.9;      66.7;      64.8;      67.3;      76.1;     819.3
3;45;      61.6;      54.8;      64.9;      55.4;      71.3;      81.5;75;68;      67.4;66;67;      73.6;     801.7
4;46;      64.2;      57.8;      67.6;      56.9;      72.1;      80.8;      73.2;      67.5;      67.3;      65.4;      69.1;      76.7;     818.6
6;46;      65.3;      58.1;61;      60.8;80;      94.5;      91.2;      70.5;      64.5;      70.2;71;77;     864.2
7;45;      75.1;      59.3;      67.8;74;      88.6;     106.8;      91.9;      75.9;      68.9;      71.5;      79.7;      82.8;     945.1
8;46;      46.9;      41.2;      46.6;      43.3;      64.8;      64.6;      64.5;      50.6;      48.9;      58.1;      53.9;59;     642.2
9;46;      49.9;      42.2;      49.1;      45.9;      63.5;      65.6;      66.7;      50.8;      50.1;      56.4;      54.8;      61.1;     656.1
10;45;      49.6;      44.3;      48.2;      44.7;      56.9;      85.3;      84.9;      75.9;      56.8;      53.5;      56.8;      61.5;     716.8
12;45;      54.4;      37.4;      51.5;43;      52.8;      75.6;      57.8;      60.7;      49.1;      48.2;      51.6;      62.2;     641.5
13;46;      43.7;      36.3;      48.3;      43.1;      54.7;      62.4;      53.5;      53.2;      41.9;      39.8;      44.7;      51.5;     573.4
14;46;      61.3;      41.2;      56.6;      43.7;      51.8;      73.7;      73.1;      69.1;84;      77.5;79;      72.6;     783.6
15;45;      43.8;      38.2;      45.8;      46.9;      67.7;      77.3;      71.2;      59.7;      52.7;      53.4;49;      54.5;     662.3
16;45;      51.2;      43.1;      48.4;51;      67.7;79;      70.5;58;      51.1;55;      54.4;      63.7;     693.1
17;45;51;      41.1;      45.7;      45.6;      67.3;      95.2;      85.6;      76.1;      62.7;      56.8;      58.4;      60.7;     746.5
18;46;     118.7;      91.6;      97.7;      70.8;      84.5;      87.4;      84.3;      73.2;      84.9;108;     114.6;138;    1153.8
19;45;62;      57.3;      59.3;      58.5;      75.7;      96.8;      84.9;      75.2;      61.7;70;      68.1;      78.1;     847.6
20;45;      74.8;      63.4;      67.8;      59.5;      80.3;      99.7;      87.2;      74.6;      66.8;      74.2;75;85;     908.3
21;45;      76.2;      78.5;      82.9;     104.3;     128.5;     172.1;     155.1;     139.8;     127.2;      97.3;113;      95.4;    1363.2
22;45;      63.9;      60.1;      69.5;      67.9;      95.9;     113.1;      95.4;      74.8;      84.9;      84.9;      87.2;      81.1;     973.7
23;45;      63.9;      42.5;      56.9;      45.7;      59.6;      76.3;      70.8;65;      60.4;      56.8;      62.8;      69.2;     726.8
